Institute,Branch Name,Quota,Category,Seat Pool,Rank,Percentile,Round No,University
JSPM  TATHAWADE,CS,HU,NT2,Gender-Neutral,9767,96.207802,1,SPPU
JSPM  TATHAWADE,CS,HU,NT3,Gender-Neutral,8768,96.5951359,1,SPPU
JSPM  TATHAWADE,CS,HU,VJ,Gender-Neutral,11225,95.654289,1,SPPU
JSPM  TATHAWADE,IT,HU,OPEN,Gender-Neutral,10777,95.7761974,1,SPPU
JSPM  TATHAWADE,IT,HU,OBC,Gender-Neutral,11832,95.3703704,1,SPPU
JSPM  TATHAWADE,IT,HU,SC,Gender-Neutral,22562,90.8627157,1,SPPU
JSPM  TATHAWADE,IT,HU,ST,Gender-Neutral,88923,56.7366842,1,SPPU
JSPM  TATHAWADE,IT,HU,NT1,Gender-Neutral,19453,92.158114,1,SPPU
JSPM  TATHAWADE,IT,HU,NT2,Gender-Neutral,13176,94.8375696,1,SPPU
JSPM  TATHAWADE,IT,HU,NT3,Gender-Neutral,11089,95.660165,1,SPPU
JSPM  TATHAWADE,IT,HU,VJ,Gender-Neutral,18528,92.5560269,1,SPPU
JSPM  TATHAWADE,Computer Science and Business Systems,HU,OPEN,Gender-Neutral,12619,95.0628437,1,SPPU
JSPM  TATHAWADE,Computer Science and Business Systems,HU,OBC,Gender-Neutral,13682,94.616159,1,SPPU
JSPM  TATHAWADE,Computer Science and Business Systems,HU,SC,Gender-Neutral,24979,89.9583318,1,SPPU
JSPM  TATHAWADE,Computer Science and Business Systems,HU,ST,Gender-Neutral,98533,49.6143282,1,SPPU
JSPM  TATHAWADE,Computer Science and Business Systems,HU,NT1,Gender-Neutral,30086,87.6216398,1,SPPU
JSPM  TATHAWADE,Computer Science and Business Systems,HU,NT2,Gender-Neutral,22079,91.0376802,1,SPPU
